"Stall number","Owner","Stall name","Placering ","Koordinater","Price level","Kategori til hjulet","Cuisine type ","Stall description","Festival history"
"92-38.","Støtteforeningen Vindinge IF","NAM-NAM","At the sails","55.6198999      12.0797637","Low","Meat, Fruits & Veggies","Italian","NAM NAM serves ITALIAN FOOD. Here, you get a wonderful mix of Italian inspired food. We serve hot classics like: Pizza ""deep pan"" with wholemeal base, pasta bolognese and garlic bread. For cold food, try our delicious pasta salad or a great sandwich with pesto and salad. Are you into vegetarian food, we have a delicious pasta salad with beans and semidried tomatoes or vegetarian pizza. If you are you thirsty, we sell Juice","We are ”Støtteforeningen for VIF’s ungdom” and our stall is called ""NAM-NAM"". Our association consists of volunteers and is part of Vindinge Sports Association. Our only task is to collect money together, which we then distribute to all our active young athletes under 25 years of Vindinge IF. Our funds go mainly for trainer education, tournaments, travel expenses and purchase of various sports equipment. We have 10 board members in our association who are actively involved in planning the festival, and we are about 90 volunteers during the festival. We have been at the festival for many years, and over the years has invested in a lot in our own equipment, so we now own our own fully equipped tent. It should be fun to work in our stall, so we try to share work, relaxation and music with each other, and hope it rubs off on our customers = you."
"05-08. ","Thai Lanna","Thai Lanna","At the sails","55.6201216      12.0791779","High","Meat, Poultry,Fruits & Veggies ","Thai","Probably the best thai food in town. Delicious thai food  & superbrunch, drinks. We have served our beloved guests at the festival since 2005",
"92-47A","Eurovenuefonden","Burger","City Center E","55.6138202      12.0885403","Middle","Meat, Poultry, Fruits & Veggies","Fast food","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here, we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. In the Burger Stall, we serve burgers, deluxe burgers, sandwiches and potato chips are made with good fresh ingredients.","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here, we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. We have been at Roskilde Festival for over 20 years. It is the good cooperation with Roskilde Festival, and especially all you festival-goers each year eating our food that allows us to return so we can make profits to Muscular Dystrophy. We are very conscious about our choice of products, and we always make sure to find new, fresh products, with focus on ecology."
"05-06. ","CoffeeCow","CoffeeCow. (Rullende kaffesalg)","City Center E",,"Low","Sweets & Drinks","Coffee",,
"07-04","Det Gyldne Brød","Det Gyldne Brød","City Center E","55.6138431      12.0887517","Low","Fruits & Veggies, Poultry, Breakfast","Bakery",,
"10-06. ","Drinks for Trees","Drinks for Trees","City Center E","55.6139534      12.0897477","Middle","Sweets & Drinks ","Bar","Drinks for the Trees welcomes with tropical atmosphere and cocktails that excites the senses and hopefully will make you smile. Or drop by in the morning, when there will be delicious espresso with yogurt and fresh fruit. All products in the bar are organic and can be enjoyed with a clear conscience, knowing that you have contributed to the preservation of the Amazon rainfores","Drinks for the Trees is a charity bar with focus on sustainability and ecology. More than half of our profits go to the association Associação Amazonia, which protects the Xixuaú-Xiparina sanctuary in the heart of the Amazon jungle.   Drinks for Trees participated for the first time at the Roskilde Festival in 2010, where we had a nice profit"
"92-23  ","Osted IF","Giant burgers – Garlic bread – Greek meatballs","City Center E","55.6137997      12.0883512","Middle","Meat, Fruits & Veggies, Sweets & Drinks","Greek + Fast food","We have the festival's best and biggest burgers. In addition, we are famous for our original and legendary garlic bread (but make sure that the entire camp eats them - they are strong!), and we also sell Greek meatballs with tzatziki. Also, try our juice or unfiltered apple juice, uhm!","Proceeds go to Osted IF Football Department, particularly for clothes, travels etc. for the association's youth. We have been with the festival since 1984 and 2011 is our 28th time! All are working voluntarily to contribute to a really good experience for the benefit of the club. "
"98-13B","Gringo","Gringo Nachos ","City Center E","55.6137300      12.0877188","Middle","Meat, Fruits & Veggies","Fast food","In Camping East you'll find Gringo Nachos East. Here, you won't wait many seconds for a large portion of hot nachos with melted cheddar cheese - served with guacamole, salsa and hot chicken wings. A meal so large that it can be shared. We recommend our Nachos menu as cure for hangovers. ","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here, we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. We have been at Roskilde Festival for over 20 years. It is the good cooperation with Roskilde Festival, and especially all you festival-goers each year eating our food that allows us to return so we can make profits to Muscular Dystrophy. We are very conscious about our choice of products, and we always make sure to find new, fresh products, with focus on ecology."
"92-29B  ","KFUM's Boldklub Roskilde","KFUM Shop Non Stop","City Center E","55.6137072      12.0875116","Low","Meat, Poultry, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","Football Club 'KFUM’s Boldklub' is again to be found at Roskilde Festival with their ""Shop Non Stop"" kiosks. Available 24/7 in all camping areas, they offer freshly baked bread in the morning, hot dishes, sweets, crisps, chocolate, coffee, water, juice, all the necessary things for personal hygiegne, and much more","The profit that are generated at Roskilde Festival each year helps improving the conditions for all the 500 members of the club. History: The club paticipated at Roskilde Festival for the first time in 1971 as a part of the support from the associations in Roskilde Festival. That was to ensure that guests could get food and drinks. Since then, it has been a recurring event for the association - an event that in addition to helping financially, also contributes to the social climate in the club, as most of the adult members are contributing as volunteers."
"08-14.","Kvickly Xtra","Kvickly Xtra","City Center E","55.6138842      12.0891179","Middle","Meat, Poultry, Sweets & Drinks, Fruits & Veggies, Breakfast","Grocery",,
"09-02.","Mummbai","Mummbai Indian Streetfood","City Center E","55.6137482      12.0878843","Middle","Meat, Seafood, Poultry, Fruits & Veggies","Indian","Mummbai is a fantastic Indian food stall which for three years has been located in Camp East. Here, you get some of the best festival food at very reasonable prices - just go after the scent of exotic spices. Each morning, we start at 8 am with homemade muffins, pancakes, yogurt with fruit & smoothies - a great way to start the day after a tough night. From around 12, we start up the Indian stews. Exciting dishes made from lots of fresh ingredients and lots of flavor. In addition, we have homemade ice cold lemonade and yogurt drink with mango.  You should'nt miss the Chicken Tikka Masala & The Beef Sandwich. We prepare several vegetarian dishes and the extensive menu can accommodate all types of allergies (Gluten Intolerance, Milk allergy, etc. Ask at the checkout for separate menu.)","Mummbai supports Danish Indian Child Welfare - who work to improve the conditions of vulnerable children & women in South India. See more at www.mummbai.dk, www.childrencare.dk & facebook."
"92-47G ","Eurovenuefonden","Pizza Restaurant","City Center E",,"High","Meat, Poultry, Fruits & Veggies","Pizza","Come and visit our Italian-inspired 100% organic pizza restaurant. We serve delicious organic pizzas and breakfast bags","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. We have been at Roskilde Festival for over 20 years. It is the good cooperation with Roskilde Festival, and especially all you festival-goers each year eating our food, that allows us to return so we can make profits to Muscular Dystrophy. We are very conscious about our choice of products, and we always make sure to find new, fresh products, with focus on ecology."
"11-01. ","Rock*N*Risotto","Rock*N*Risotto","City Center E","55.6139199      12.0894297","Middle","Meat, Seafood, Fruits & Veggies","Italian","Rock*N*Risotto offers three kinds of risotto to hungry festival guests who want a refined meal as part of their festival experience. To those who would like their risotto 100% vegetarian, the accessory is raw marinated fennel. For those who want meat for their meal, we offer lamb roasted with lemon and thyme, if however, you feel like fish, we can offer tiger prawns in tomato Relish. If the desire is for dessert, we offer tiramisu with strawberries.","First time at Roskilde Festival"
"92-47B","Eurovenuefonden","Burger","City Center W","55.6177369      12.0703506","Middle","Meat, Poultry, Fruits & Veggies ","Fast food","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here, we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. In the Burger Stall, we serve burgers, deluxe burgers, sandwiches and potato chips are made with good fresh ingredients.","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here, we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. We have been at Roskilde Festival for over 20 years. It is the good cooperation with Roskilde Festival and especially all you festival-goers each year eating our foo, that allows us to return so we can make profits to Muscular Dystrophy. We are very conscious about our choice of products, and we always make sure to find new, fresh products, with focus on ecology."
"92-16 ","Gundsølille SG og IF","Eat Beer","City Center W","55.6180573      12.0702780","Low","Meat, Poultry, Fruits & Veggies","Mexican","If you want to ensure a continued intake of beer while you eat - visit the Eat Beer, located at City West. At Eat Beer we serve delicious food with beer. We make perhaps the worlds best Chilli con carne, but we also offer other delicious dishes like Japanese Porter Chicken and Chicken Curry Soup. If you prefer vegetarian dishes, we recommend the Chilli sin carne or Tomato Soup. You can of course choose garlic bread or pancakes. Everything is made from the best ingredients.","The people behind Eat Beer stand are GSG & NS - Gundsølille Shooting, Gymnastics & Sports Association. We are a small association with nearly 1000 members, who for many years has participated at the Roskilde Festival. This year marks the sixth year, we participate with the concept Eat Beer. GSG & NS is based in Gundsølille which lies just under 10 miles outside of Roskilde. The association is characterized by a strong unity and a desire to further develop the offers as they come with time, and this is what motivates us, year after year, to participate at the Roskilde Festival."
"92-08 ","DUI Leg og Virke.","Frugt og Grønt","City Center W","55.6175623      12.0708705","Low","Fruits & Veggies","Fruits and Vegetables","We sell fresh fruit and vegetables - both organic and conventional. We sell from a booth at the camping area and from 2 mobile fruit carts","DUI - PLAY AND ACTIVITIES (Roskilde department) is a child, youth and family-based association that creates various activities for all age groups. Profits from the festival helps to keep these activities going, and the same time to create new activities to benefit children, adolescents and families in our association. DUI has been with the festival for over 25 years. We do it because it is still fun and exciting to be part of the Roskilde Festival and it also provides an important social aspect in the association. You can read more about us at: www.dui.dk/roskilde"
"10-17.","Gilt bar ","Gilt bar ","City Center W","55.6179469      12.0709194","Middle","Sweets & Drinks","Bar",,
"92-18  ","Himmelev badminton Klub","Købmand og bager ","City Center W","55.6178458      12.0702632","Low","Sweets & Drinks, Fruits & Veggies, Breakfast","Grocery",,
"92-26","Roskilde Basketball Club","Mexifood","City Center W","55.6176045      12.0706017","Low","Meat, Poultry, Fruits & Veggies ","Mexican","Mexifood serves great Tex-Mex inspired food with an emphasis on the classical tortillas, meat (beef/chicken), salsa, beans and chili. For those who want to do without meat, we have our new dish - a simple but rich soup with a hint of 'hot'.","Roskilde Basketball Club has been running the stall for more than 20 years and has served food to countless festival guests. As a local club, it is natural for us to use the festival to earn money for our current and upcoming young players. We consider ourselves to be a significant alternative to the traditional major sports in Roskilde."
"92-28 ","Roskilde Gymnastikforening","Roskilde Gymnastikforening","City Center W","55.6183564      12.0708220","Low","Meat, Poultry, Fruits & Veggies, Breakfast","African","Here, we serve a delicious brunch and African food, also vegetaria","Roskilde Gymnastics Association attended the first time in 1982 and has been at the Roskilde Festival ever since. We participate in Roskilde Festival as it is a great experience and a job we like. A profit, small or large, makes it possible for us to give some extra experiences for children and youth in the gymnastic clubs and to procure gymnastic equipment which is very expensive."
"95-02 ","Roskilde Volleyball Klub","Soup and sandwichs","City Center W","55.6179469      12.0709194","Low","Meat, Poultry, Fruits & Veggies ","Italian","Soup and Sandwich offers primarily delicious big sandwiches for everyone. They are packed with good healthy ingredients and provides a good satiety. When it gets chilly, our famous tomato soup is a must","Roskilde Volleyball Club runs the stall. Profits are used for club member activities. In addition, we throw a nice Saturday barbecue party for all the volunteers in the stall. Soup and Sandwich was at Roskilde for the first time about 12 years ago. Back then we did the original 80-style sandwiches. Today our sandwiches more up to date ;-)"
"10-14C ","KentKaffe","KentKaffe","Cosmopol","55.6211612      12.0724442","Middle","Sweets & Drinks","Coffee","At Kent Kaffe Laboratorium, we serve both hot and cold coffee drinks, Irish coffee, tea, hot chocolate, sandwiches and cakes. Everything is organic quality experiences made of great products. Our special ""Roskilde roast"" will be served and we roast it on site in a classical gas-fired drum roaster for slow roast.","Kent Kaffe Laboratorium is one of Copenhagen's most experimental coffee bars where the focal point is a good cup of coffee, roasted and brewed with perfection in new ways to highlight each variety for unique tastes. All our coffee is organic and Fair Trade and is roast from our own coffee roaster in Funen. With a focus on taste from the different beans and differentiated brewing methods, the goal is to broaden our guests perceptual spectra and knowledge of coffee. A different kind of coffee experience where it is possible to taste different organic beans from large parts of the world."
"11-02.","Mesteren & Lærlingen","Mesteren & Lærlingen","Cosmopol","55.6210725      12.0723585","Middle","Sweets & Drinks","Bar","The Master & Apprentice (Mesteren & Lærlingen) has its debut this year at the Roskilde Festival, and it's found at the Cosmopol scene. Lovely drinks, ice cold beer, quiz tournament and rafling during daylight hours and good bodega atmosphere. We like quality and want to show this in our drink range: Rhubarb juice from Vestfyen, Organic ginger ale and apple juice from Ørbæk from Lilleø. In addition, there will of course be floating Tuborg beer from the taps, while the music pounds from Cosmopol.","The Master & Apprentice (Mesteren & Lærlingen) reopened in summer 2009. After 18 years as a butcher hangout bodega, Simon Dokkedal (The black school), Donald Dixen (Dokkedal / Dixen), Rita Christina Biza (Ladybox) and Birk Voss (Dark Rome) took over the bar and has since made it one of the most original and popular bars in the meatpacking district, Vesterbro. It's the Master & Apprentice's first year at the Roskilde Festival, but we still hope to contribute to the party with a decent shot of originality, love and lots of joy"
"92-51 ","Badeklubben","Badeklubben","Culture Zone","55.6194251      12.0779079","Low","Meat, Fruits & Veggies, Sweets & Drinks","Mediterranean","In the Swim Club stand only men are working. Here, we serve quality food, prepared from scratch from quality ingredients. We take pride in delivering Roskilde's best food, morning, noon and night. It has taken us 10 years to cultivate the optimal taste.","The Swim Club manages the stall and all the proceeds will go to charity, especially in South America and Africa. But we also support activities in Denmark and Greenland. The Swim Club supports schools for orphans in South America, and maladjusted children in Greenland. We've also created a bike rental shop in Mozambique. Swim Club has participated in Roskilde since 1992 - 20 YEARS!"
"08-07.","Christania Falaffel","Christania Falaffel","Culture Zone","55.6194536      12.0758573","Low","Meat, Fruits & Veggies ","Falaffel",,
"92-42 ","Ungdomsringen Roskilde","Festival is","Culture Zone",,"Middle","Sweets & Drinks","Ice cream","Enjoy a familiar and Danish-produced ice cream from Premier IS. All Premier ice creams are produced free of artificial additives and are based solely on cream and 100% pure, natural ingredients. You will find us with the rolling stalls inside the festival area, and out around the busy camping areas from Sunday to Sunday. Look for the parasol. Come try the new Faxe Kondi soda ice or our Underground Cornetto. Yum!","Festivalis has participated for 10 years and started with three permanent stalls in the festival site. Today we have grown ourselves 4 times bigger - and we have rolling sale at the festival site, but also out at the camping area, so we can come to you. Our name came as a natural thing as we sell ice cream at the world's best festival – come to us for a cold ice cream or an ice lollie. The organization behind Festivalis is the Youth Ring in Roskilde, hosted by Holmager SFO in Greve. The profit goes to Holmager SFO, children and adolescents in Greve and the Youth Ring in Roskilde. Festivalis participates because we love ice cream, the atmosphere, the music and the unity at the Roskilde Festival."
"06-04B ","Flaming Cactus","Flaming Cactus","Culture Zone","55.6194458      12.0764168","Middle","Meat, Fruits & Veggies ","Mexican",,
"92-29A ","KFUM's Boldklub Roskilde","KFUM Shop Non Stop","Culture Zone","55.6194216      12.0781562","Low","Meat, Poultry, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","Football Club 'KFUM’s Boldklub' is again to be found at Roskilde Festival with their ""Shop Non Stop"" kiosks. Available 24/7 in all camping areas, they offer freshly baked bread in the morning, hot dishes, sweets, crisps, chocolate, coffee, water, juice, all the necessary things for personal hygiegne, and much more","The profit that are generated at Roskilde Festival each year helps improving the conditions for all the 500 members of the club. History: The club paticipated at Roskilde Festival for the first time in 1971 as a part of the support from the associations in Roskilde Festival. That was to ensure that guests could get food and drinks. Since then, it has been a recurring event for the association - an event that in addition to helping financially, also contributes to the social climate in the club, as most of the adult members are contributing as volunteers."
"93-04  ","Roars Venner","Rom og cigarbar","Culture Zone","55.6194387      12.0769261","Middle","Sweets & Drinks","Bar","The Rum and Cigar Bar has a large selection of Cuban cigars and a number of interesting dark rums. Furthermore, we sell hand-mixed Mojito, Strawberry Daiquiri frozen, and Cuba Libre. The bar is furnished with an enclosed tent area and an open ""beach area"".","The Rum and Cigar Bar has existed at the Roskilde Festival since 2000, but the support association behind the bar has been involved since the festival began in 1972 in beer sales and more. Profits from Rum and Cigar Bar accrue to Roskilde Festival. The support association Roar Friends who runs the bar will donate their profits to the Roar holiday camp, located at Lyndby and Roskilde Fjord."
"03-05.","Shark House","Shark House","Culture Zone","55.6193878      12.0787270","Middle","Meat, Poultry, Fruits & Veggies ","Caribbean",,
"92-32","Roskilde Skiklub","Skiburger","Culture Zone","55.6194486      12.0762153","Low","Meat, Fruits & Veggies","Fast food","Skiburgeren serves four different burgers. You can choose between: The good classic Skiburger which for over 25 years has been a must for festival guests, the greater Snowboarder, a delicious roast pork sandwich or a Veggie-burger","Skiburgeren is operated by Roskilde Ski Club - one of the largest and oldest ski clubs in Denmark with over 700 members. The Profit from Skiburgerne helps operating and developing the ski resort in Hedeland where there are two lifts, ski and boot rentals and a cafeteria. In 2010, there were 40 operating days and lots of people on the hill! In the next few years we will get new lift system and a piste machine that can distribute the snow from the snow guns. Skiburgeren has been at the Roskilde Festival for over 25 years! 225 volunteers are doing their best to serve the greatest burgers of the festival."
"92-19   ","Himmelev Volleyball Klub","SPAGHETTI","Culture Zone","55.6194279      12.0777064","Low","Meat, Fruits & Veggies ","Italian","'Food to fill you up' – this expresses our believe that the audience must have a good portion of good food to fill you up and give you energy to party during the festival. The food should have substance and bite and be priced appropriately.","Himmelev Volleyball Club manages the stall and the proceeds will benefit sporting and social activities for club members. This is our 30th consecutive participation at Roskilde. We are at Roskilde because we make money to help the club activities, but also for the good time and the joy of making a lot of food ;-)"
"07-12. ","Huset Jens Aps","Yutaka Sushi bar. ","Culture Zone","55.6194419      12.0766961","High","Seafood, Fruits & Veggies","Sushi","Yutaka is the largest Sushi takeaway in Denmark. We have Roskilde's hottest stall. We want to give the guests a delicious, fresh and healthy taste: Delicious cold nooddle salads with chicken or shrimps, freshly prepared quality sushi (also vegetarian), seaweed salad or edamame beans. Furthermore, we are known for our great selection of hot drinks.",
"03-11. ","BTK 61","Cinema-kiosken","East (Cinema)","55.6168874      12.0881909","Middle","Sweets & Drinks","Slik",,
"08-04C","Kaffekværnen","Kaffekværnen","East (Cinema)","55.6168874      12.0881909","Middle","Sweets & Drinks","Coffee","At the small mobile coffee bar, Kaffekværnen, you can get well-brewed quality coffee in many flavors, or a hot cup of chocolate.",
"92-29H  ","KFUM's Boldklub Roskilde","KFUM Shop Non Stop","East (Cinema)","55.6168874      12.0881909","Low","Meat, Poultry, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","Football Club 'KFUM’s Boldklub' is again to be found at Roskilde Festival with their ""Shop Non Stop"" kiosks. Available 24/7 in all camping areas, they offer freshly baked bread in the morning, hot dishes, sweets, crisps, chocolate, coffee, water, juice, all the necessary things for personal hygiegne, and much more","The profit that are generated at Roskilde Festival each year helps improving the conditions for all the 500 members of the club. History: The club paticipated at Roskilde Festival for the first time in 1971 as a part of the support from the associations in Roskilde Festival. That was to ensure that guests could get food and drinks. Since then, it has been a recurring event for the association - an event that in addition to helping financially, also contributes to the social climate in the club, as most of the adult members are contributing as volunteers."
"92-47E","Eurovenuefonden","Food Shop","East (get-a-tent)","55.6177473      12.0974082","Middle","Sweets & Drinks, Meat, Fruits & Veggies","Deli","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here, we mainly serve sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. In Food Shop we sell breakfast bags and sandwiches made from good fresh ingredients.","The Eurovenue Fund is an organization which each year participates in Roskilde Festival with a handful of stalls. Here we serve mainly sandwiches and pizzas - with all proceeds being donated to the Muscular Dystrophy Foundation, which supports and helps people who suffer from muscular dystrophy. We have been at Roskilde Festival for over 20 years. It is the good cooperation with Roskilde Festival, and especially all you festival-goers each year eating our food that allows us to return so we can make profits to Muscular Dystrophy. We are very conscious about our choice of products, and we always make sure to find new, fresh products, with focus on ecology"
"92-29G","KFUM's Boldklub Roskilde","KFUM Shop Non Stop","East (H)","55.6146074      12.0810007","Low","Meat, Poultry, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","Football Club 'KFUM’s Boldklub' is again to be found at Roskilde Festival with their ""Shop Non Stop"" kiosks. Available 24/7 in all camping areas, they offer freshly baked bread in the morning, hot dishes, sweets, crisps, chocolate, coffee, water, juice, all the necessary things for personal hygiegne, and much more","The profit that are generated at Roskilde Festival each year helps improving the conditions for all the 500 members of the club. History: The club paticipated at Roskilde Festival for the first time in 1971 as a part of the support from the associations in Roskilde Festival. That was to ensure that guests could get food and drinks. Since then, it has been a recurring event for the association - an event that in addition to helping financially, also contributes to the social climate in the club, as most of the adult members are contributing as volunteers."
"92-29D ","KFUM's Boldklub Roskilde","KFUM Shop Non Stop","East (L)","55.6172688      12.0838724","Low","Meat, Poultry, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","Football Club 'KFUM’s Boldklub' is again to be found at Roskilde Festival with their ""Shop Non Stop"" kiosks. Available 24/7 in all camping areas, they offer freshly baked bread in the morning, hot dishes, sweets, crisps, chocolate, coffee, water, juice, all the necessary things for personal hygiegne, and much more","The profit that are generated at Roskilde Festival each year helps improving the conditions for all the 500 members of the club. History: The club paticipated at Roskilde Festival for the first time in 1971 as a part of the support from the associations in Roskilde Festival. That was to ensure that guests could get food and drinks. Since then, it has been a recurring event for the association - an event that in addition to helping financially, also contributes to the social climate in the club, as most of the adult members are contributing as volunteers."
"10-02B ","PølsePusheren","PølsePusheren","East (L)","55.6172666      12.0834303","Middle","Meat, Poultry, Fruit & Veggies","Hot dog stand",,
"92-29I","KFUM's Boldklub Roskilde","KFUM Shop Non Stop","East (M)","55.6182899      12.0902188","Low","Meat, Poultry, Fruits & Veggies, Sweets & Drinks, Breakfast","Deli","Football Club 'KFUM’s Boldklub' is again to be found at Roskilde Festival with their ""Shop Non Stop"" kiosks. Available 24/7 in all camping areas, they offer freshly baked bread in the morning, hot dishes, sweets, crisps, chocolate, coffee, water, juice, all the necessary things for personal hygiegne, and much more","The profit that are generated at Roskilde Festival each year helps improving the conditions for all the 500 members of the club. History: The club paticipated at Roskilde Festival for the first time in 1971 as a part of the support from the associations in Roskilde Festival. That was to ensure that guests could get food and drinks. Since then, it has been a recurring event for the association - an event that in addition to helping financially, also contributes to the social climate in the club, as most of the adult members are contributing as volunteers."
